trade_date,slug,side,entry_price,size,cost,hours_to_close_at_entry,trade_bought_timestamp,resolution,trade_resolved_timestamp,payout,pnl_no_fees,pnl_with_fees
2026-01-29,eth-updown-4h-1769706000,NO,0.85,0.9191,0.78,2.33,2026-01-29T18:42:18.828Z,STOP_LOSS,2026-01-29T18:43:20.457Z,0.68,-0.10,-0.11
2026-01-29,tsla-close-above-430-on-january-29-2026,NO,0.95,0.8224,0.78,2.33,2026-01-29T18:42:18.829Z,STOP_LOSS,2026-01-29T18:43:21.529Z,0.73,-0.05,-0.06
2026-01-29,rut-up-or-down-on-january-29-2026,NO,0.87,0.8980,0.78,2.33,2026-01-29T18:42:18.829Z,STOP_LOSS,2026-01-29T18:43:21.997Z,0.69,-0.09,-0.10
2026-01-29,nvda-up-or-down-on-january-29-2026,NO,0.86,0.9084,0.78,2.33,2026-01-29T18:42:18.830Z,STOP_LOSS,2026-01-29T18:43:22.453Z,0.72,-0.06,-0.07
2026-01-29,ethereum-up-or-down-january-29-1pm-et,NO,0.9,0.8681,0.78,0.33,2026-01-29T18:42:18.830Z,STOP_LOSS,2026-01-29T18:43:26.352Z,0.76,-0.03,-0.03
2026-01-29,cs2-mis-fal-2026-01-29,NO,0.9,0.8681,0.78,3.85,2026-01-29T18:47:34.357Z,STOP_LOSS,2026-01-29T18:48:34.960Z,0.09,-0.69,-0.70
2026-01-29,cs2-mis-fal-2026-01-29,NO,0.9,0.5208,0.47,3.85,2026-01-29T18:47:34.385Z,STOP_LOSS,2026-01-29T18:48:34.982Z,0.05,-0.42,-0.42
2026-01-29,cs2-mis-fal-2026-01-29,NO,0.9,0.4340,0.39,3.85,2026-01-29T18:47:34.386Z,STOP_LOSS,2026-01-29T18:48:35.181Z,0.04,-0.35,-0.35
2026-01-29,eth-updown-4h-1769706000,NO,0.85,0.9191,0.78,2.33,2026-01-29T18:47:34.358Z,STOP_LOSS,2026-01-29T18:48:35.856Z,0.78,0.00,-0.01
2026-01-29,nvda-up-or-down-on-january-29-2026,NO,0.86,0.9084,0.78,2.33,2026-01-29T18:47:34.359Z,STOP_LOSS,2026-01-29T18:48:37.665Z,0.72,-0.06,-0.07
2026-01-29,ethereum-up-or-down-january-29-1pm-et,NO,0.9,0.8681,0.78,0.33,2026-01-29T18:47:34.359Z,STOP_LOSS,2026-01-29T18:48:40.345Z,0.84,0.06,0.05
2026-01-29,ethereum-up-or-down-january-29-1pm-et,NO,0.9,0.4340,0.39,0.33,2026-01-29T18:47:34.389Z,STOP_LOSS,2026-01-29T18:48:40.508Z,0.42,0.03,0.03
